crsp_fundno,n_full,n_lowvol,n_highvol,alpha_full_annual,alpha_lowvol_annual,alpha_highvol_annual,alpha_high_minus_low
64961,2578,1995,583,0.01652070935511588,-0.02386007326457845,0.14907175776666462,0.17293183103124307
22641,6876,5162,1714,-0.0060508966278822515,-0.04040520472157666,0.07620938154296387,0.11661458626454053
91487,2154,1616,538,-0.02630876734887653,-0.041063253248711296,0.0398433152315563,0.08090656848026759
36540,4569,3419,1150,-0.0366903127536975,-0.04736987936470782,0.0020938568137868242,0.049463736178494644
4905,6876,5162,1714,0.009456573825543718,0.00558241443545279,0.04128670492235966,0.03570429048690687
7826,6876,5162,1714,-0.0028863873679320423,-0.010130640674450334,0.02155416572690092,0.031684806401351254
30782,6874,5160,1714,-0.022925960703519783,-0.0320034577075078,-0.0017078302952740025,0.030295627412233798
24805,6350,4813,1537,0.030367984884486526,0.010543662364349652,0.03323343047892011,0.022689768114570463
21120,6876,5162,1714,0.0200132023309049,5.778873273271978e-05,0.021327269063858716,0.021269480331125995
31950,6876,5162,1714,0.016662163358346624,0.007332033077314746,0.027074212932240712,0.019742179854925965
