crsp_fundno,n_obs,beta_normal,beta_tail5,beta_tail_minus_normal,tail_shift_t,tail_shift_p
31363,5477,1.1733753773257989,1.108672819893678,-0.06470255743212089,-4.083543238866987,4.435417173576004e-05
24805,6350,1.1846538950668015,1.1209908892383431,-0.06366300582845834,-2.950312146634022,0.0031745302563938958
27354,5367,1.1750581213746605,1.117624284696328,-0.05743383667833255,-3.7590507211779127,0.00017055926140082157
12017,6876,1.2851479983123544,1.2286994012975547,-0.056448597014799554,-2.41225029583228,0.015854393341597932
31208,6132,1.115083375929297,1.0877183400869843,-0.027365035842312847,-2.3489255806874048,0.01882766941348164
7826,6876,0.9823620368943631,0.9563966952338911,-0.025965341660471875,-2.729567145739868,0.00634175328986332
26985,6876,1.080495664450475,1.068983993930039,-0.01151167052043612,-1.076274067420381,0.2818047029430504
19609,6876,0.8892750678810937,0.8794985882304327,-0.009776479650660981,-0.9064897552333002,0.36467668495891803
11980,6876,1.0768483263147728,1.0727047867453547,-0.00414353956941798,-0.40124033986904756,0.6882431833258842
22641,6876,1.195264128326352,1.1915525860769682,-0.003711542249383755,-0.16301884093403474,0.8705036001871642
