crsp_fundno,n_obs_raw,start_date_raw,end_date_raw,n_obs_clean,start_date_clean,end_date_clean
004717,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
004905,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
005079,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
005846,6351,2000-09-29,2025-12-31,6350,2000-10-02,2025-12-31
007826,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
009980,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
010063,5685,2003-05-30,2025-12-31,5684,2003-06-02,2025-12-31
011809,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
011974,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
011980,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
012009,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
012017,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
012026,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
013216,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
014031,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
019609,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
021120,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
022641,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
024805,6351,2000-09-29,2025-12-31,6350,2000-10-02,2025-12-31
024833,5326,2004-11-01,2025-12-31,5325,2004-11-02,2025-12-31
026970,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
026982,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
026985,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
026998,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
027045,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
027354,5368,2004-09-01,2025-12-31,5367,2004-09-02,2025-12-31
030782,6876,1998-09-01,2025-12-31,6874,1998-09-01,2025-12-31
031187,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031208,6133,2001-08-13,2025-12-31,6132,2001-08-14,2025-12-31
031217,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031235,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031298,4924,2006-06-07,2025-12-31,4923,2006-06-08,2025-12-31
031302,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031304,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031363,5478,2004-03-25,2025-12-31,5477,2004-03-26,2025-12-31
031456,6320,2000-11-13,2025-12-31,6319,2000-11-14,2025-12-31
031461,6320,2000-11-13,2025-12-31,6319,2000-11-14,2025-12-31
031462,6320,2000-11-13,2025-12-31,6319,2000-11-14,2025-12-31
031950,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
031959,6876,1998-09-01,2025-12-31,6876,1998-09-01,2025-12-31
036540,4570,2007-11-01,2025-12-31,4569,2007-11-02,2025-12-31
052301,3684,2011-05-10,2025-12-31,3683,2011-05-11,2025-12-31
052819,3628,2011-07-29,2025-12-31,3627,2011-08-01,2025-12-31
052832,3647,2011-07-01,2025-12-31,3646,2011-07-05,2025-12-31
053175,3600,2011-09-08,2025-12-31,3599,2011-09-09,2025-12-31
064961,2579,2015-09-30,2025-12-31,2578,2015-10-01,2025-12-31
087002,2468,2016-03-10,2025-12-31,2467,2016-03-11,2025-12-31
091487,2155,2017-06-07,2025-12-31,2154,2017-06-08,2025-12-31
093577,1941,2018-04-13,2025-12-31,1926,2018-04-16,2025-12-31
100948,742,2023-01-18,2025-12-31,741,2023-01-19,2025-12-31
