crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p,r2,beta_mktrf,beta_smb,beta_hml,beta_mom,alpha_q
012017,Carhart4,6876,0.00017492483923315787,0.04408105948675578,1.8684179862686903,0.061703831952379655,0.8227535357270757,1.265700094942813,0.21735805756434143,-0.6208951265757318,-0.06152232851850588,0.2203708284013559
087002,Carhart4,2467,0.0001250510162225084,0.03151285608807212,1.2908397098014275,0.19675926496776164,0.16541294897301573,0.12995706926075856,-0.006167535159157741,0.0038149424948340613,-0.03720486722115605,0.4120122011050167
024805,Carhart4,6350,0.00012050787652573847,0.030367984884486093,1.3273215146194175,0.18440234986224735,0.8264118327700334,1.1623487167272368,0.17146534500331043,-0.7093396279619768,-0.17521366095296692,0.4120122011050167
031302,Carhart4,6876,0.0001156939378824522,0.029154872346377952,2.3068104857166603,0.021065387437675318,0.10579913279918263,0.07194374017966086,0.0274955640686926,0.0188294724929209,-0.01977038321235982,0.17877180958243152
005846,Carhart4,6350,9.695791523303945e-05,0.02443339463872594,2.828920847331109,0.004670524870747961,0.039746027461371236,-0.03724532235381721,0.015573334037187499,-0.0403632598348168,-0.0068811126713118256,0.08737659235174526
031363,Carhart4,5477,9.296194876360298e-05,0.02342641108842795,1.5319811688559564,0.12552708176156385,0.9004653262615775,1.1499114377255724,0.004280858902631265,-0.37714113101504493,0.016153751615130343,0.3321946427759296
011974,Carhart4,6876,8.655601206869091e-05,0.021812115041310108,2.1114327253259124,0.034735134702590396,0.9054845271456335,0.7544623891891498,0.26493943320027813,0.2843883137452975,-0.0006034367647561289,0.19297297056994667
012026,Carhart4,6876,8.573446195753757e-05,0.021605084413299468,0.9647577419484634,0.3346661663436803,0.6570255178647046,0.7807269000532555,0.08097618543022789,-0.1608628968961552,0.060593801919593016,0.5506748404318332
014031,Carhart4,6876,8.479300544279918e-05,0.02136783737158539,2.5929162545486704,0.009516594061883238,0.9472328896168052,0.953573393386757,0.04888019106487265,-0.16070936738417624,0.009696845250722255,0.11895742577354047
011809,Carhart4,6876,7.969461930231654e-05,0.020083044064183767,2.2409694595387077,0.025028053341540412,0.9280489544914566,0.9121817228420789,-0.01108157036235707,-0.07848862357676313,0.164227291952074,0.17877180958243152
